actor,43
seq,91
maxOp,74
time,53774
message,4
depsNum,39
depsIndex,109
extraLen,4

objActor,6
objCtr,6
keyActor,373
keyCtr,25511
keyStr,10
idActor,457
idCtr,27659
insert,79
action,95
valLen,95
valRaw,51030
succNum,5240
succActor,360
succCtr,18478
